model,precision,recall,f1,auprc,roc_auc,fn,fp,expected_cost
Logistic regression,0.8793103448275862,0.5368421052631579,0.6666666666666666,0.7429739838513916,0.9685379270491812,44,7,4435.0
Random Forest,0.961038961038961,0.7789473684210526,0.8604651162790697,0.8174705170590856,0.9523149589034988,21,3,2115.0
XGBoost,0.9358974358974359,0.7684210526315789,0.8439306358381503,0.8395278055927511,0.9739659912167669,22,5,2225.0
Neural network,0.8705882352941177,0.7789473684210526,0.8222222222222222,0.8037503840859621,0.9832877015224333,21,11,2155.0
XGBoost (weighted),0.6752136752136753,0.8315789473684211,0.7452830188679245,0.8351269211049115,0.9785702672596479,16,38,1790.0
